Account ID,Account name,Campaign ID,Campaign name,Objective,Ad set ID,Ad Set Name,Day,Country,Region,DMA Code,DMA region,Platform,Placement,Device platform,Media type,Impressions,Amount spent,Currency
"'1007323679964840","Res.Area","'23853018410430141","Chat - BuildinSmart-LC","Link clicks","'23853018410500141","Trafic-chat-dance-RU","2023-01-21","PL","Masovian Voivodeship","0","Unknown","Facebook","Facebook Reels","Mobile app","VIDEO","5","0.02","PLN"
"'1007323679964840","Res.Area","'23853018410430141","Chat - BuildinSmart-LC","Link clicks","'23853018410500141","Trafic-chat-dance-RU","2023-01-21","PL","Masovian Voivodeship","0","Unknown","Facebook","Facebook Stories","Mobile app","VIDEO","7","0.07","PLN"
"'1007323679964840","Res.Area","'23853018410430141","Chat - BuildinSmart-LC","Link clicks","'23853018410500141","Trafic-chat-dance-RU","2023-01-21","PL","Masovian Voivodeship","0","Unknown","Facebook","Feed","Mobile app","VIDEO","2375","18.56","PLN"
"'1007323679964840","Res.Area","'23853018410430141","Chat - BuildinSmart-LC","Link clicks","'23853018410500141","Trafic-chat-dance-RU","2023-01-21","PL","Masovian Voivodeship","0","Unknown","Facebook","In-stream video","Mobile app","VIDEO","155","4.49","PLN"
"'1007323679964840","Res.Area","'23853018410430141","Chat - BuildinSmart-LC","Link clicks","'23853018410500141","Trafic-chat-dance-RU","2023-01-21","PL","Masovian Voivodeship","0","Unknown","Facebook","Marketplace","Mobile app","VIDEO","7","0.03","PLN"
"'1007323679964840","Res.Area","'23853018410430141","Chat - BuildinSmart-LC","Link clicks","'23853018410500141","Trafic-chat-dance-RU","2023-01-21","PL","Masovian Voivodeship","0","Unknown","Facebook","Search results","Mobile app","VIDEO","21","0.05","PLN"
"'1007323679964840","Res.Area","'23853018410430141","Chat - BuildinSmart-LC","Link clicks","'23853018410500141","Trafic-chat-dance-RU","2023-01-21","PL","Masovian Voivodeship","0","Unknown","Facebook","Feed: video feeds","Mobile app","VIDEO","318","3.94","PLN"
"'1007323679964840","Res.Area","'23853018410430141","Chat - BuildinSmart-LC","Link clicks","'23853018410500141","Trafic-chat-dance-RU","2023-01-21","PL","Masovian Voivodeship","0","Unknown","Instagram","Feed","Desktop","VIDEO","1","0.01","PLN"
"'1007323679964840","Res.Area","'23853018410430141","Chat - BuildinSmart-LC","Link clicks","'23853018410500141","Trafic-chat-dance-RU","2023-01-21","PL","Masovian Voivodeship","0","Unknown","Instagram","Feed","Mobile app","VIDEO","49","0.94","PLN"
"'1007323679964840","Res.Area","'23853018410430141","Chat - BuildinSmart-LC","Link clicks","'23853018410500141","Trafic-chat-dance-RU","2023-01-21","PL","Masovian Voivodeship","0","Unknown","Instagram","Explore","Mobile app","VIDEO","8","0.14","PLN"
"'1007323679964840","Res.Area","'23853018410430141","Chat - BuildinSmart-LC","Link clicks","'23853018410500141","Trafic-chat-dance-RU","2023-01-21","PL","Masovian Voivodeship","0","Unknown","Instagram","Instagram Reels","Mobile app","VIDEO","76","0.76","PLN"
"'1007323679964840","Res.Area","'23853018410430141","Chat - BuildinSmart-LC","Link clicks","'23853018410500141","Trafic-chat-dance-RU","2023-01-21","PL","Masovian Voivodeship","0","Unknown","Instagram","Instagram Stories","Mobile app","VIDEO","343","5.29","PLN"
